timestamp,symbol,open,high,low,close,volume
1752771600000,MSFT,512.785,512.88,512.71,512.73,57317
1752771660000,MSFT,512.73,512.9,512.35,512.45,65322
1752771720000,MSFT,512.495,512.63,512.46,512.582,23393
1752771780000,MSFT,512.64,512.76,512.53,512.64,15970
1752771840000,MSFT,512.628,512.715,512.608,512.676,17374
1752771900000,MSFT,512.65,512.65,512.53,512.58,20441
1752771960000,MSFT,512.56,512.7,512.54,512.615,20370
1752772020000,MSFT,512.57,512.59,512.4,512.48,17620
1752772080000,MSFT,512.475,512.66,512.475,512.55,13968
1752772140000,MSFT,512.55,512.85,512.5,512.85,9748
1752772200000,MSFT,512.85,512.99,512.83,512.965,19116
1752772260000,MSFT,512.965,512.98,512.87,512.875,24236
1752772320000,MSFT,512.85,512.875,512.77,512.77,9338
1752772380000,MSFT,512.76,512.8,512.66,512.685,16228
1752772440000,MSFT,512.7,512.73,512.57,512.695,50485
1752772500000,MSFT,512.695,512.75,512.62,512.66,16187
1752772560000,MSFT,512.66,512.75,512.648,512.75,16017
1752772620000,MSFT,512.72,512.89,512.55,512.585,32079
1752772680000,MSFT,512.56,512.59,512.36,512.515,43485
1752772740000,MSFT,512.515,512.7,512.47,512.7,20433
1752772800000,MSFT,512.675,512.757,512.61,512.64,9992
1752772860000,MSFT,512.64,512.68,512.47,512.6,19712
1752772920000,MSFT,512.6,512.74,512.5,512.705,8267
1752772980000,MSFT,512.72,512.85,512.7,512.74,12562
1752773040000,MSFT,512.754,512.79,512.665,512.7,13192
1752773100000,MSFT,512.68,512.73,512.61,512.655,25010
1752773160000,MSFT,512.69,512.72,512.58,512.61,11342
1752773220000,MSFT,512.6,512.72,512.44,512.61,28638
1752773280000,MSFT,512.57,512.8,512.515,512.8,29666
1752773340000,MSFT,512.83,512.9,512.79,512.817,16595
1752773400000,MSFT,512.78,512.95,512.77,512.82,42762
1752773460000,MSFT,512.86,513,512.79,512.825,34022
1752773520000,MSFT,512.84,512.872,512.67,512.736,23216
1752773580000,MSFT,512.76,512.76,512.38,512.515,35020
1752773640000,MSFT,512.505,512.549,512.415,512.493,11413
1752773700000,MSFT,512.51,512.51,512.39,512.44,13424
1752773760000,MSFT,512.41,512.46,512.345,512.35,8129
1752773820000,MSFT,512.39,512.42,512.3,512.385,11657
1752773880000,MSFT,512.385,512.51,512.34,512.48,17684
1752773940000,MSFT,512.474,512.615,512.46,512.5,17265
